0.296071,L_is.x,L_is.y,L_is.z,Delta_L,aCMDin.x,aCMDin.y,aCMDin.z,aCMDb.x,aCMDb.y,aCMDb.z,Throttle,Aileron,Rudder,Elevator
-0.011691,0.026580,-13.82742,-0.925919,3.858415,0.011036,-0.395982,-1.503211,-0.018030,-0.011691,-1.554382,0.771682,nan,-0.001767,1.592070
-0.011887,0.026580,-14.20224,-0.937229,4.233155,0.011078,-0.423103,-1.534657,-0.026923,-0.011887,-1.591680,0.846631,nan,-0.001617,1.581647
-0.011108,0.026336,-14.51846,-0.948969,4.549467,0.010128,-0.417481,-1.524419,-0.022389,-0.011108,-1.580387,0.909893,nan,-0.001252,1.583395
-0.012165,0.026031,-14.90652,-0.963019,4.937622,0.011397,-0.392820,-1.487036,-0.008260,-0.012164,-1.538017,0.987524,nan,-0.001692,1.591992
-0.011775,0.025756,-15.10339,-0.982269,5.135324,0.011112,-0.378847,-1.472779,0.002111,-0.011775,-1.520718,1.027065,nan,-0.001728,1.595319
-0.011652,0.025207,-15.64154,-1.006239,5.673894,0.011379,-0.363017,-1.448163,0.011944,-0.011652,-1.492920,1.134779,nan,-0.002216,1.600657
-0.010851,0.024688,-16.05606,-1.031469,6.089178,0.010892,-0.361879,-1.450841,0.012626,-0.010851,-1.495238,1.217836,nan,-0.002474,1.600553
-0.010812,0.024200,-16.41061,-1.055679,6.444553,0.011047,-0.366982,-1.465409,0.009714,-0.010812,-1.510632,1.288911,nan,-0.002732,1.597998
-0.010644,0.023956,-16.56128,-1.077599,6.596317,0.011023,-0.374816,-1.488104,0.006847,-0.010644,-1.534569,1.319263,nan,-0.002889,1.593508
-0.009408,0.023254,-17.28867,-1.099069,7.323580,0.009952,-0.389574,-1.512908,-0.002032,-0.009407,-1.562263,1.464716,nan,-0.002850,1.588203
-0.009350,0.023193,-17.16092,-1.118959,7.197378,0.009904,-0.397311,-1.539687,-0.002804,-0.009350,-1.590124,1.439476,nan,-0.002839,1.582607
-0.008846,0.022766,-17.61777,-1.136439,7.654398,0.009391,-0.413835,-1.571288,-0.009442,-0.008846,-1.624847,1.530880,nan,-0.002719,1.575204
-0.008277,0.022430,-18.01144,-1.152119,8.048269,0.008721,-0.428885,-1.601534,-0.014082,-0.008277,-1.657909,1.609654,nan,-0.002472,1.567881
-0.007548,0.022125,-18.64337,-1.164349,8.679708,0.007698,-0.441988,-1.626055,-0.016229,-0.007548,-1.684977,1.735942,nan,-0.001965,1.561178
-0.007342,0.021942,-19.13773,-1.178049,9.173962,0.007174,-0.447657,-1.641845,-0.013942,-0.007342,-1.701721,1.834792,nan,-0.001544,1.556723
-0.007373,0.021820,-19.32907,-1.195129,9.365995,0.007011,-0.451296,-1.658130,-0.011432,-0.007373,-1.718408,1.873199,nan,-0.001322,1.552839
